Property Type,Status,Curr List Price,Street Name,Street Type,Zip,County,Area,Baths,Beds,SqFt,Fin SqFt,Total SqFt,PSF,PSF Fin,Car Storage,Spaces,Description,Bsmt Size,Bsmt SqFt,Upper Beds,Fireplaces,Type,Near By,Style,Construction,Roofing,Year Built,Elementary,Junior High,Senior High,School District,Zoned,Terms,Addl Terms,Earnest Ck To,Min Earnest,Possession,Exclusions,Buyers Agency,Trans Br,Var Comm,LTD Srvc,Exclusive Agency,Legal,Taxes,EW Direction,EW#,NS Direction,NS#,Heat,Sewer,Water,Acres,Lot Size,Curr DOM,Total DOM,Orig List Price,Name,Listing Office,Sold Price,Concession Amt,Seller Type,Entered By,Entered Where,Internet Ads,Photo Count,Latitude,Longitude
Res,S,291995,SYLVESTOR,Trl,80129,DOUG,DHL,3,2,1415,2550,2662,201.41,111.76,"Garage,Attached",2,"Air Cond-Central,Cable Available,Ceiling Fan,Cable Installed,Corner,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Kitchen Island,Mstr Bathroom,Master Suite,Newer Paint,Park Addl Off St,Pool Community,Quick Poss,Refrigerator,Smoke Alarm,Self-Clean Oven,Satellite Ant,Smoke Free,Stove/Range/Ovn,Tile Floor,Washer,Wndw Cover,Wood Floors,Walk-In Closets,W/W Carpet",Full,1247,3,0,Detach Singl Fam,,Ranch/1 Story,Frame,Composition,1998,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee Company,3000,after delivery of deed and funds,Fluorescent lights in the garage,2.8,2.5,No,No,Excl Right,LOT 210 HIGHLANDS RANCH #121-C. 0.145 AM/L,2322,West,740,South,9800,"Forced Air, Gas",Public,Public,0.14,6098,39,39,309900,CINDY HIATT,HomeSmart Realty Group of Colorado,285000,1086,Individual,ch,BO,Yes,21,39.539515,-104.997984
Res,S,269900,SAVANNAH SPARROW,Dr,80129,DOUG,DHL,3,3,1314,1571,1743,205.4,171.8,"Garage,Attached",2,"Air Cond-Central,Cable Available,Ceiling Fan,Cable Installed,Corner,Covered Patio,Dbl Pane Wndw,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Garage Dr,Mstr Bathroom,Microwave Oven,Newer Paint,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,Utility Shed,Washer,Wndw Cover",Partial,429,3,0,Detach Singl Fam,,Two Story,Frame/Brick,Concrete Tile,1996,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,CO Western Title,2500,72 HOURS DOD,curtains in 3rd bedroom,2.8,2.8,No,No,Excl Agency,LOT 48 HIGHLANDS RANCH # 118-F 0.140 AM/L,1768,West,1600,South,9900,"Forced Air, Gas",Public,Public,0.14,6098,17,17,275000,Daniel Longshore,MB OPTIONS & RESULTS GROUP,269900,4000,Individual,DL,BO,Yes,20,39.533279,-105.00472
Res,U,229000,SAVANNAH SPARROW,Dr,80129,DOUG,DHL,3,2,1314,1314,1743,174.28,174.28,Garage,2,"Cable Installed,Disposal,Dishwasher,Fence,Garage Dr,Loft,Mstr Bathroom,Walk-In Closets,W/W Carpet",Partial,429,2,1,Detach Singl Fam,,Two Story,Frame/Brick,Concrete Tile,1996,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Chicago Title,1500,Immediate,N/A,2.8,2.8,No,No,Excl Right,LOT 89 HIGHLANDS RANCH #118-F. 0.120 AM/L,1750,West,1600,South,9900,"Forced Air, Gas",,Public,0.14,6098,0,0,229000,JEROME SELF,EQUITY COLORADO,336807.13,1610.790419,Estate,js,BO,Yes,20,39.533472,-105.003429
Res,U,285000,STELLARS JAY,Dr,80129,DOUG,DHL,2,3,1452,1452,1872,196.28,196.28,"Garage,Attached",2,"Air Cond-Central,Burglar Alarm,Cable Available,Cable Installed,Dbl Pane Wndw,Dryer,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Garden Area,Garage Dr,Gas Logs,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Storm Windows,Tile Floor,Washer,Wndw Cover,Wood Floors,Walk-In Closets,W/W Carpet",Partial,420,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,1999,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,FULLER SOTHEBY'S INTERNATIONAL REALTY,5000,upon delivery of deed,"freezer in basement, BBQ grill",2.8,2.8,No,No,Excl Agency,LOT 321 HIGHLANDS RANCH #118G. 0.147 AM/L,1788,West,515,South,10500,"Forced Air, Gas",,Public,0.14,6098,8,8,285000,JANET ROBINSON,Fuller Sotheby's International Realty,336807.13,1610.790419,Individual,sh,BO,Yes,25,39.5299,-104.992649
Res,S,284900,BURBERRY,Way,80129,DOUG,DHL,3,3,1433,1433,2003,191.91,191.91,"Garage,Attached",2,"Air Cond-Central,Burglar Alarm,Cable Installed,Dbl Pane Wndw,Disposal,Eating Sp/Kit,Fence,Garage Dr,Great Room,High Spd Access,Loft,Microwave Oven,Master Suite,Newer Paint,Pool Community,Pet Free,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Storm Windows,Vaulted Ceiling,Wndw Cover,Walk-In Closets,W/W Carpet",Partial,570,3,1,Detach Singl Fam,,Two Story,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Remax Professionals,3000,at closing (DOD),clothes washer and dryer,2.8,2.8,No,No,Excl Right,LOT 178 HIGHLANDS RANCH #121-C. 0.133 AM/L,1845,West,800,South,9768,"Forced Air, Gas",Public,Public,0.13,5805,50,50,284900,DWIGHT CABALKA,RE/MAX PROFESSIONALS,275000,0,Individual,AW,BO,Yes,25,39.540602,-104.997897
Res,S,269900,SUN MEADOW,St,80129,DOUG,DHL,3,3,1479,1479,1914,179.18,179.18,"Garage,Attached",2,"Air Cond-Central,Ceiling Fan,Dbl Pane Wndw,Deck,Dryer,Dishwasher,Eating Sp/Kit,Five Piece Bath,Gas Logs,Great Room,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Pool Community,Refrigerator,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Partial,435,3,1,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,1998,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Fidelity Ntl Title,3000,DOD + 1 Day,None,2.8,2.8,No,No,Excl Agency,LOT 224 HIGHLANDS RANCH # 121-B 0.132 AM/L,1880,West,400,South,9700,"Forced Air, Gas",,Public,0.13,5750,92,92,295000,KATHY SAMPRON,HomeSmart Realty Group,265000,4000,Individual,KS,BO,Yes,23,39.540513,-105.000122
Res,S,269900,BURBERRY,Way,80129,DOUG,DHL,3,3,1409,1409,1929,191.55,191.55,"Garage,Attached",2,"Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Formal Dining,Fence,Five Piece Bath,Garage Dr,Gas Logs,Great Room,Landscaped Pro,Microwave Oven,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,Vaulted Ceiling,Wndw Cover,Walk-In Closets,W/W Carpet",Full,520,3,1,Detach Singl Fam,,Two Story,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX Professionals,3000,48 hours after DOD/funding,"washer/dryer,refrigerator, hot tub, personal prop.",2.8,2.8,No,No,Excl Right,LOT 154 HIGHLANDS RANCH#121-C. 0.139 AM/L,1837,West,800,South,9900,"Forced Air, Gas",Public,Public,0.13,5663,4,4,269900,Kelly Nichols,RE/MAX PROFESSIONALS,269900,3000,Individual,KC,BO,Yes,25,39.539859,-104.994574
Res,U,305000,SUN MEADOW,St,80129,DOUG,DHL,3,3,1479,1679,1914,206.22,181.66,"Garage,Attached",2,"Air Cond-Central,Agent Owner,Ceiling Fan,Cul-De-Sac,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Five Piece Bath,Garage Dr,High Spd Access,Humidifier,Kitchen Island,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Quick Poss,Refrigerator,Remodeled,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Vaulted Ceiling,View Mountains,Washer,Wood Floors,Walk-In Closets",Partial,435,3,0,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,1997,Bear Canyon              ,Ranch View               ,Thunderridge             ,DOR1,PUD,"Conventional,FHA,VA,Cash",,RE/MAX Professionals,6000,DOD,NONE,2.8,2.8,No,No,Excl Right,LOT 187 HIGHLANDS RANCH 121B,1693,West,1000,South,9600,"Forced Air, Gas",Public,Public,0.13,5663,0,0,305000,The Matthias Group,RE/MAX PROFESSIONALS,336807.13,1610.790419,Individual,AG,BO,Yes,1,39.542173,-105.000384
Res,S,320000,WHITE OAK,St,80129,DOUG,DHL,4,5,1700,2639,2805,185.29,119.36,"Garage,Attached",2,"Air Cond-Central,Ceiling Fan,Cul-De-Sac,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Mstr Bathroom,Microwave Oven,Master Suite,Pet Free,Patio,Quick Poss,Smoke Alarm,Self-Clean Oven,Smoke Free,Skylights,Sprinkler,Vaulted Ceiling,Wndw Cover,Wood Floors,Walk-In Closets",Full,1105,3,1,Detach Singl Fam,,Two Story,Frame,Composition,1995,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Fidelity National Title Comapny,3000,Negotiable,pool table and light over the pool table,2.8,2.8,Yes,No,Excl Agency,LOT 112 HIGHLANDS RANCH 110G .131 AM/L,2038,West,2900,South,10300,"Forced Air, Gas",Public,Public,0.13,5662,57,57,329000,Sharon Almand,STARS AND STRIPES HOMES INC,315000,0,Individual,SA,BO,Yes,21,39.530831,-105.021243
Res,S,310000,THORNBURY,Way,80129,DOUG,DHL,3,3,1479,1718,1914,209.6,180.44,"Garage,Attached",2,"Air Cond-Central,Ceiling Fan,Cable Installed,Deck,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Five Piece Bath,Garage Dr,Gas Logs,High Spd Access,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Paint,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,Tile Floor,Updated,Utility Shed,Washer,Wood Floors,Walk-In Closets,W/W Carpet",Partial,435,3,1,Detach Singl Fam,,Two Story,Frame,Composition,1999,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",BUYER TO VERIFY TAXES,Guardian title,5000,to be determined with offer,"white refrigerator & freezer in bsmt, master bedroom and kids room curtains",2.8,2.8,No,No,Excl Right,LOT 72 HIGHLANDS RANCH #121B 1ST AMEND. 0.134 AM/L,1930,West,1000,South,9825,"Forced Air, Gas",Public,Public,0.13,5662,2,2,310000,GIFFORD DUDLEY,COLDWELL BANKER RESIDENTIAL 26,310000,0,Individual,TK,BO,Yes,22,39.537713,-105.003746
Res,S,309900,BURBERRY,Way,80129,DOUG,DHL,4,3,1409,1929,1929,214.34,156.56,"Garage,Attached",2,"Air Cond-Central,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Kitchen Island,Loft,Landscaped Pro,Mstr Bathroom,Microwave Oven,Media Room,Newer Carpet,Newer Paint,Refrigerator,Remodeled,Sprinkler,Stove/Range/Ovn,Updated,View City,Vaulted Ceiling,Wet Bar,Wndw Cover,Wood Floors,Walk-In Closets",Full,520,2,0,Detach Singl Fam,,Two Story,Frame,Composition,1997,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,NORTH AMERICAN TITLE,3500,NEGOTIABLE,WASHER & DRYER,2.8,2.8,No,No,Excl Right,LOT 110 HIGHLANDS RANCH #121-C. 0.130 AM/L,1908,West,800,South,9900,"Forced Air, Gas",Public,Public,0.174,5662,16,16,309900,DARREN FOGEL,MB DENVER COLORADO REALTY,302000,400,Individual,DM,BO,Yes,20,39.540585,-104.994762
