Property Type,Status,Street Name,Street Type,County,Area,Car Storage,Description,Bsmt Size,Type,Near By,Style,Construction,Roofing,Elementary,Junior High,Senior High,School District,Zoned,Terms,Addl Terms,Earnest Ck To,Possession,Exclusions,Var Comm,LTD Srvc,Exclusive Agency,Legal,EW Direction,NS Direction,Heat,Sewer,Water,Name,Listing Office,Seller Type,Entered By,Entered Where,Internet Ads,Photo Count,Latitude,Longitude,Baths,Beds,SqFt,Fin SqFt,Total SqFt,PSF,PSF Fin,Zip,Spaces,Bsmt SqFt,Upper Beds,Fireplaces,Year Built,Min Earnest,Buyers Agency,Trans Br,Taxes,EW#,Acres,Lot Size,Curr DOM,Total DOM,NS#,Concession Amt,Curr List Price
Res,S,POPPY,Pl,DOUG,DHL,"Garage,Attached","Air Cond-Central,Balcony,Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Five Piece Bath,Garage Dr,Great Room,Mstr Bathroom,Microwave Oven,Master Suite,Pool Community,Quick Poss,Refrigerator,Sprinkler,Stove/Range/Ovn,Wood Floors",Full,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,UPON DOD AND FUNDING,"CLOTHES WASHER, CLOTHES DRYER, DRAPES IN MASTER",No,No,Excl Right,LOT 72 HIGHLANDS RANCH # 121-C. 0.142 AM/L,West,South,"Forced Air, Gas",Public,Public,Nicholas Dembeck,RE/MAX ALLIANCE,Individual,ND,BO,Yes,25,39.538064,-104.996071,3,3,1700,1700,2704,198.82,198.82,80129,2,1004,3,1,1997,3000,2.8,2.8,2207,800,0.14,6098,20,20,9900,0,324900
Res,S,POPPY,Pl,DOUG,DHL,"Garage,Attached","Air Cond-Central,Attic Fan,Backs to Open Sp,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Fireplace Insert,Garage Dr,Great Room,Hot Tub,Mstr Bathroom,Microwave Oven,Master Suite,Pool Community,Refrigerator,Sprinkler,Stove/Range/Ovn,View Mountains,Washer,Wood Floors",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX ALLIANCE,UPON DOD AND FUNDING,"Sellers personal property, Refrigerator, Washer/Dryer.",No,No,Excl Right,LOT 70 HIGHLANDS RANCH # 121-C. 0.147 AM/L,West,South,"Forced Air, Gas",Public,Public,Nicholas Dembeck,RE/MAX ALLIANCE,Individual,ND,BO,Yes,20,39.537661,-104.996237,3,3,1700,1700,2000,198,198,80129,2,300,3,1,1997,3500,2.8,2.8,2079,800,0.14,6098,3,3,9900,0,324900
Res,S,SYLVESTOR,Trl,DOUG,DHL,"Garage,Attached","Air Cond-Central,Cable Available,Ceiling Fan,Cable Installed,Corner,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Kitchen Island,Mstr Bathroom,Master Suite,Newer Paint,Park Addl Off St,Pool Community,Quick Poss,Refrigerator,Smoke Alarm,Self-Clean Oven,Satellite Ant,Smoke Free,Stove/Range/Ovn,Tile Floor,Washer,Wndw Cover,Wood Floors,Walk-In Closets,W/W Carpet",Full,Detach Singl Fam,,Ranch/1 Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Land Title Guarantee Company,after delivery of deed and funds,Fluorescent lights in the garage,No,No,Excl Right,LOT 210 HIGHLANDS RANCH #121-C. 0.145 AM/L,West,South,"Forced Air, Gas",Public,Public,CINDY HIATT,HomeSmart Realty Group of Colorado,Individual,ch,BO,Yes,21,39.539515,-104.997984,3,2,1415,2550,2662,201.41,111.76,80129,2,1247,,,1998,3000,2.8,2.5,2322,740,0.14,6098,39,39,9800,1086,291995
Res,S,SAVANNAH SPARROW,Dr,DOUG,DHL,"Garage,Attached","Air Cond-Central,Cable Available,Ceiling Fan,Cable Installed,Corner,Covered Patio,Dbl Pane Wndw,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Garage Dr,Mstr Bathroom,Microwave Oven,Newer Paint,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,Utility Shed,Washer,Wndw Cover",Partial,Detach Singl Fam,,Two Story,Frame/Brick,Concrete Tile,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,CO Western Title,72 HOURS DOD,curtains in 3rd bedroom,No,No,Excl Agency,LOT 48 HIGHLANDS RANCH # 118-F 0.140 AM/L,West,South,"Forced Air, Gas",Public,Public,Daniel Longshore,MB OPTIONS & RESULTS GROUP,Individual,DL,BO,Yes,20,39.533279,-105.00472,3,3,1314,1571,1743,205.4,171.8,80129,2,429,3,0,1996,2500,2.8,2.8,1768,1600,0.14,6098,17,17,9900,4000,269900
Res,U,SAVANNAH SPARROW,Dr,DOUG,DHL,Garage,"Cable Installed,Disposal,Dishwasher,Fence,Garage Dr,Loft,Mstr Bathroom,Walk-In Closets,W/W Carpet",Partial,Detach Singl Fam,,Two Story,Frame/Brick,Concrete Tile,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Chicago Title,Immediate,N/A,No,No,Excl Right,LOT 89 HIGHLANDS RANCH #118-F. 0.120 AM/L,West,South,"Forced Air, Gas",,,JEROME SELF,EQUITY COLORADO,Estate,js,BO,Yes,,39.533472,-105.003429,3,2,1314,1314,1743,174.28,174.28,80129,2,429,2,1,1996,1500,2.8,2.8,1750,1600,0.14,6098,0,0,9900,,229000
Res,U,STELLARS JAY,Dr,DOUG,DHL,"Garage,Attached","Air Cond-Central,Burglar Alarm,Cable Available,Cable Installed,Dbl Pane Wndw,Dryer,Dishwasher,Eating Sp/Kit,Fence,Fireplace Insert,Garden Area,Garage Dr,Gas Logs,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Storm Windows,Tile Floor,Washer,Wndw Cover,Wood Floors,Walk-In Closets,W/W Carpet",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame,Composition,Saddle Ranch             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,FULLER SOTHEBY'S INTERNATIONAL REALTY,upon delivery of deed,"freezer in basement, BBQ grill",No,No,Excl Agency,LOT 321 HIGHLANDS RANCH #118G. 0.147 AM/L,West,South,"Forced Air, Gas",,,JANET ROBINSON,Fuller Sotheby's International Realty,Individual,sh,BO,Yes,25,39.5299,-104.992649,2,3,1452,1452,1872,196.28,196.28,80129,2,420,3,1,1999,5000,2.8,2.8,1788,515,0.14,6098,8,8,10500,,285000
Res,S,BURBERRY,Way,DOUG,DHL,"Garage,Attached","Air Cond-Central,Burglar Alarm,Cable Installed,Dbl Pane Wndw,Disposal,Eating Sp/Kit,Fence,Garage Dr,Great Room,High Spd Access,Loft,Microwave Oven,Master Suite,Newer Paint,Pool Community,Pet Free,Patio,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Storm Windows,Vaulted Ceiling,Wndw Cover,Walk-In Closets,W/W Carpet",Partial,Detach Singl Fam,,Two Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Remax Professionals,at closing (DOD),clothes washer and dryer,No,No,Excl Right,LOT 178 HIGHLANDS RANCH #121-C. 0.133 AM/L,West,South,"Forced Air, Gas",Public,Public,DWIGHT CABALKA,RE/MAX PROFESSIONALS,Individual,AW,BO,Yes,25,39.540602,-104.997897,3,3,1433,1433,2003,191.91,191.91,80129,2,570,3,1,1997,3000,2.8,2.8,1845,800,0.13,5805,50,50,9768,0,284900
Res,S,SUN MEADOW,St,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Dbl Pane Wndw,Deck,Dryer,Dishwasher,Eating Sp/Kit,Five Piece Bath,Gas Logs,Great Room,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Pool Community,Refrigerator,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Washer,Wndw Cover,Wood Floors,Walk-In Closets",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Fidelity Ntl Title,DOD + 1 Day,None,No,No,Excl Agency,LOT 224 HIGHLANDS RANCH # 121-B 0.132 AM/L,West,South,"Forced Air, Gas",,,KATHY SAMPRON,HomeSmart Realty Group,Individual,KS,BO,Yes,23,39.540513,-105.000122,3,3,1479,1479,1914,179.18,179.18,80129,2,435,3,1,1998,3000,2.8,2.8,1880,400,0.13,5750,92,92,9700,4000,269900
Res,S,BURBERRY,Way,DOUG,DHL,"Garage,Attached","Ceiling Fan,Cable Installed,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Formal Dining,Fence,Five Piece Bath,Garage Dr,Gas Logs,Great Room,Landscaped Pro,Microwave Oven,Smoke Alarm,Smoke Free,Sprinkler,Stove/Range/Ovn,Tile Floor,Vaulted Ceiling,Wndw Cover,Walk-In Closets,W/W Carpet",Full,Detach Singl Fam,,Two Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,RE/MAX Professionals,48 hours after DOD/funding,"washer/dryer,refrigerator, hot tub, personal prop.",No,No,Excl Right,LOT 154 HIGHLANDS RANCH#121-C. 0.139 AM/L,West,South,"Forced Air, Gas",Public,Public,Kelly Nichols,RE/MAX PROFESSIONALS,Individual,KC,BO,Yes,25,39.539859,-104.994574,3,3,1409,1409,1929,191.55,191.55,80129,2,520,3,1,1997,3000,2.8,2.8,1837,800,0.13,5663,4,4,9900,3000,269900
Res,U,SUN MEADOW,St,DOUG,DHL,"Garage,Attached","Air Cond-Central,Agent Owner,Ceiling Fan,Cul-De-Sac,Dbl Pane Wndw,Deck,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Five Piece Bath,Garage Dr,High Spd Access,Humidifier,Kitchen Island,Mstr Bathroom,Microwave Oven,Master Suite,Newer Carpet,Newer Paint,Pool Community,Quick Poss,Refrigerator,Remodeled,Smoke Free,Sprinkler,Stove/Range/Ovn,Updated,Vaulted Ceiling,View Mountains,Washer,Wood Floors,Walk-In Closets",Partial,Detach Singl Fam,,Tri-Lvl w/Bsmt,Frame/Brick,Composition,Bear Canyon              ,Ranch View               ,Thunderridge             ,DOR1,PUD,"Conventional,FHA,VA,Cash",,RE/MAX Professionals,DOD,NONE,No,No,Excl Right,LOT 187 HIGHLANDS RANCH 121B,West,South,"Forced Air, Gas",Public,Public,The Matthias Group,RE/MAX PROFESSIONALS,Individual,AG,BO,Yes,1,39.542173,-105.000384,3,3,1479,1679,1914,206.22,181.66,80129,2,435,3,,1997,6000,2.8,2.8,1693,1000,0.13,5663,0,0,9600,,305000
Res,S,WHITE OAK,St,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Cul-De-Sac,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Mstr Bathroom,Microwave Oven,Master Suite,Pet Free,Patio,Quick Poss,Smoke Alarm,Self-Clean Oven,Smoke Free,Skylights,Sprinkler,Vaulted Ceiling,Wndw Cover,Wood Floors,Walk-In Closets",Full,Detach Singl Fam,,Two Story,Frame,Composition,Coyote Creek             ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,Fidelity National Title Comapny,Negotiable,pool table and light over the pool table,Yes,No,Excl Agency,LOT 112 HIGHLANDS RANCH 110G .131 AM/L,West,South,"Forced Air, Gas",Public,Public,Sharon Almand,STARS AND STRIPES HOMES INC,Individual,SA,BO,Yes,21,39.530831,-105.021243,4,5,1700,2639,2805,185.29,119.36,80129,2,1105,3,1,1995,3000,2.8,2.8,2038,2900,0.13,5662,57,57,10300,0,320000
Res,S,THORNBURY,Way,DOUG,DHL,"Garage,Attached","Air Cond-Central,Ceiling Fan,Cable Installed,Deck,Dryer,Disposal,Dishwasher,Eating Sp/Kit,Fence,Five Piece Bath,Garage Dr,Gas Logs,High Spd Access,Kitchen Island,Landscaped Pro,Mstr Bathroom,Microwave Oven,Master Suite,Newer Paint,Refrigerator,Smoke Alarm,Self-Clean Oven,Smoke Free,Sprinkler,Stove/Range/Ovn,Sump Pump,Tile Floor,Updated,Utility Shed,Washer,Wood Floors,Walk-In Closets,W/W Carpet",Partial,Detach Singl Fam,,Two Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",BUYER TO VERIFY TAXES,Guardian title,to be determined with offer,"white refrigerator & freezer in bsmt, master bedroom and kids room curtains",No,No,Excl Right,LOT 72 HIGHLANDS RANCH #121B 1ST AMEND. 0.134 AM/L,West,South,"Forced Air, Gas",Public,Public,GIFFORD DUDLEY,COLDWELL BANKER RESIDENTIAL 26,Individual,TK,BO,Yes,22,39.537713,-105.003746,3,3,1479,1718,1914,209.6,180.44,80129,2,435,3,1,1999,5000,2.8,2.8,1930,1000,0.13,5662,2,2,9825,0,310000
Res,S,BURBERRY,Way,DOUG,DHL,"Garage,Attached","Air Cond-Central,Cable Available,Ceiling Fan,Dbl Pane Wndw,Deck,Disposal,Dishwasher,Eating Sp/Kit,Formal Dining,Fence,Five Piece Bath,Kitchen Island,Loft,Landscaped Pro,Mstr Bathroom,Microwave Oven,Media Room,Newer Carpet,Newer Paint,Refrigerator,Remodeled,Sprinkler,Stove/Range/Ovn,Updated,View City,Vaulted Ceiling,Wet Bar,Wndw Cover,Wood Floors,Walk-In Closets",Full,Detach Singl Fam,,Two Story,Frame,Composition,Eldorado                 ,Ranch View               ,Thunderridge             ,DOR1,PDU,"Conventional,FHA,VA,Cash",,NORTH AMERICAN TITLE,NEGOTIABLE,WASHER & DRYER,No,No,Excl Right,LOT 110 HIGHLANDS RANCH #121-C. 0.130 AM/L,West,South,"Forced Air, Gas",Public,Public,DARREN FOGEL,MB DENVER COLORADO REALTY,Individual,DM,BO,Yes,20,39.540585,-104.994762,4,3,1409,1929,1929,214.34,156.56,80129,2,520,2,,1997,3500,2.8,2.8,1908,800,,5662,16,16,9900,400,309900
